Incidents of Assault from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Lane Cove,Stable,74,200.8,92,242.2,91,233.3,79,200.1,93,235.5
Leeton,Stable,131,1148.1,126,1104.1,137,1198.9,139,1215.2,160,1398.8
Lismore,Stable,532,1203.9,486,1102.8,472,1075.0,525,1197.5,486,1108.5
Lithgow,Stable,201,938.2,213,990.3,239,1107.0,246,1137.0,243,1123.1
Liverpool Plains,Stable,88,1122.3,98,1248.0,81,1028.2,77,975.5,95,1203.6
Lockhart,n.c.,27,864.1,14,438.0,26,798.9,14,424.9,15,455.2
Lord Howe Island,n.c.,0,n.c.,7,n.c.,1,n.c.,4,n.c.,4,n.c.
Maitland,Stable,848,1089.5,793,997.0,854,1045.7,866,1040.8,784,942.3
Mid-Coast,Stable,905,991.8,905,983.8,868,936.1,851,912.2,908,973.3
Mid-Western Regional,Stable,266,1089.3,257,1044.2,250,1003.8,270,1076.3,293,1168.0
Moree Plains,Down 6.2% per year,428,3122.0,446,3282.6,418,3111.9,336,2516.9,322,2412.0
Mosman,Down 7.2% per year,96,319.1,75,247.1,93,303.3,70,226.7,73,236.4
Murray River,Stable,47,398.7,59,496.2,41,340.9,48,396.1,57,470.4
Murrumbidgee,Stable,28,718.1,39,989.9,43,1086.6,34,858.4,41,1035.1
Muswellbrook,Stable,190,1155.6,196,1190.9,208,1266.1,202,1233.0,206,1257.4
Nambucca,Stable,199,1017.7,245,1249.5,199,1009.0,290,1466.6,244,1234.0
Narrabri,Stable,185,1377.1,191,1431.1,175,1318.8,150,1133.7,168,1269.7
Narrandera,Up 22.9% per year,37,619.9,75,1261.6,61,1028.0,77,1298.3,84,1416.3
Narromine,Stable,130,1953.2,105,1589.2,104,1580.8,133,2025.3,75,1142.1
Newcastle,Stable,1775,1109.5,1906,1182.6,1758,1079.4,1753,1068.2,1841,1121.8
North Sydney,Down 5.2% per year,299,420.5,342,473.9,329,448.4,261,351.9,252,339.8
Northern Beaches,Up 3.5% per year,956,363.0,992,372.2,1003,372.1,1141,420.6,1131,416.9
Oberon,Stable,46,862.5,34,633.9,42,778.6,48,887.6,33,610.2
Orange,Stable,593,1448.9,522,1264.4,531,1275.3,540,1284.0,651,1547.9
Parkes,Stable,198,1324.8,245,1641.9,208,1395.2,187,1255.5,187,1255.5
Parramatta,Stable,1524,664.5,1486,627.1,1593,648.7,1709,680.0,1707,679.2
Penrith,Up 4.6% per year,2063,1038.6,2111,1042.3,2209,1070.9,2294,1096.5,2601,1243.2
Port Macquarie-Hastings,Stable,613,773.2,580,721.3,554,676.0,556,668.8,614,738.6
Port Stephens,Stable,586,831.5,662,929.1,617,856.5,653,898.3,673,925.8
Queanbeyan-Palerang Regional,Stable,318,554.7,348,599.7,309,523.0,325,542.0,328,547.0
Randwick,Up 3.1% per year,869,589.4,919,613.8,949,621.3,953,617.8,1028,666.4
Richmond Valley,Down 4.7% per year,305,1316.3,318,1366.0,270,1156.4,273,1166.7,254,1085.5
Ryde,Up 5.4% per year,428,358.8,485,397.2,448,357.5,543,426.1,565,443.3
Shellharbour,Stable,525,753.0,481,681.6,425,595.9,404,559.2,482,667.2
Shoalhaven,Stable,899,890.7,818,800.2,822,794.4,902,864.2,813,779.0
Singleton,Stable,167,708.1,175,743.0,217,924.2,192,819.7,164,700.2
Snowy Monaro Regional,Stable,109,531.9,128,622.1,138,667.4,130,627.0,171,824.8
Snowy Valleys,Stable,158,1079.8,143,979.5,148,1017.1,119,818.9,127,873.9
Strathfield,Stable,263,632.7,253,591.6,289,654.6,295,653.5,268,593.7
Sutherland Shire,Up 5.9% per year,1072,475.2,1127,497.0,1120,491.1,1107,483.0,1368,596.8
Sydney,Down 2.3% per year,4502,2081.7,4514,2003.8,4582,1949.9,4559,1897.8,4549,1893.6
Tamworth Regional,Stable,715,1180.3,761,1243.5,760,1230.4,760,1222.7,799,1285.5
Temora,Stable,39,631.8,44,707.6,54,864.5,51,812.9,50,796.9
Tenterfield,Stable,82,1222.6,74,1107.0,75,1127.0,87,1310.6,53,798.4
The Hills Shire,Up 7.1% per year,448,280.0,453,275.8,480,284.1,449,260.3,636,368.8
Tweed,Stable,624,673.8,640,680.3,601,631.0,666,693.0,620,645.1
Unincorporated Far West,n.c.,0,n.c.,3,n.c.,1,n.c.,5,n.c.,4,n.c.
Upper Hunter Shire,Up 7.3% per year,65,451.7,76,530.5,66,462.9,99,696.2,85,597.7
Upper Lachlan Shire,n.c.,27,345.3,27,343.3,24,302.7,18,226.1,19,238.7
Uralla,n.c.,18,291.2,35,569.8,36,590.8,28,461.9,29,478.4
Wagga Wagga,Up 3.7% per year,797,1255.0,808,1262.1,830,1287.8,841,1297.4,939,1448.6
Walcha,n.c.,25,799.1,24,764.3,17,540.7,32,1021.7,23,734.4
Walgett,Stable,281,4394.0,210,3345.2,254,4126.0,227,3751.4,225,3718.4
Warren,n.c.,63,n.c.,60,n.c.,56,n.c.,69,n.c.,67,n.c.
Warrumbungle Shire,Stable,108,1124.7,86,902.1,96,1016.9,102,1085.2,83,883.1
Waverley,Stable,584,816.5,564,779.0,495,672.5,489,659.8,500,674.6
Weddin,n.c.,17,461.5,16,437.2,19,522.0,13,357.5,14,385.0
Wentworth,Stable,114,1652.2,91,1310.5,147,2101.6,111,1576.3,122,1732.5
Willoughby,Stable,237,310.0,238,303.3,266,332.8,258,321.1,263,327.4
Wingecarribee,Stable,220,455.3,249,506.2,210,420.9,190,376.3,199,394.1
Wollondilly,Down 8.6% per year,312,637.9,251,500.8,278,541.1,250,478.7,233,446.1
Wollongong,Down 3.7% per year,1687,807.5,1621,767.7,1556,727.1,1503,695.6,1499,693.8
Woollahra,Stable,238,413.4,215,371.1,235,401.0,220,373.1,224,379.9
Yass Valley,Stable,71,432.3,66,397.3,62,368.5,64,377.5,59,348.0
