Incidents of Homicide from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Lockhart,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Maitland,n.c.,1,1.3,1,1.3,1,1.2,0,0.0,0,0.0
Mid-Coast,n.c.,1,1.1,2,2.2,0,0.0,2,2.1,0,0.0
Mid-Western Regional,n.c.,0,0.0,0,0.0,1,4.0,1,4.0,0,0.0
Moree Plains,n.c.,1,7.3,0,0.0,0,0.0,0,0.0,0,0.0
Mosman,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Murray River,n.c.,0,0.0,1,8.4,0,0.0,0,0.0,0,0.0
Murrumbidgee,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Muswellbrook,n.c.,0,0.0,1,6.1,1,6.1,0,0.0,0,0.0
Nambucca,n.c.,0,0.0,0,0.0,0,0.0,2,10.1,2,10.1
Narrabri,n.c.,0,0.0,0,0.0,1,7.5,0,0.0,0,0.0
Narrandera,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Narromine,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Newcastle,n.c.,4,2.5,1,0.6,3,1.8,4,2.4,2,1.2
North Sydney,n.c.,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0
Northern Beaches,n.c.,2,0.8,3,1.1,3,1.1,1,0.4,1,0.4
Oberon,n.c.,0,0.0,1,18.6,0,0.0,0,0.0,1,18.5
Orange,n.c.,0,0.0,0,0.0,0,0.0,2,4.8,1,2.4
Parkes,n.c.,0,0.0,0,0.0,1,6.7,1,6.7,1,6.7
Parramatta,n.c.,3,1.3,1,0.4,0,0.0,5,2.0,0,0.0
Penrith,n.c.,2,1.0,3,1.5,1,0.5,1,0.5,4,1.9
Port Macquarie-Hastings,n.c.,0,0.0,1,1.2,0,0.0,1,1.2,1,1.2
Port Stephens,n.c.,0,0.0,1,1.4,0,0.0,1,1.4,1,1.4
Queanbeyan-Palerang Regional,n.c.,0,0.0,1,1.7,1,1.7,1,1.7,2,3.3
Randwick,n.c.,2,1.3,0,0.0,4,2.6,1,0.6,2,1.3
Richmond Valley,n.c.,0,0.0,0,0.0,0,0.0,1,4.3,0,0.0
Ryde,n.c.,0,0.0,1,0.8,0,0.0,1,0.8,0,0.0
Shellharbour,n.c.,1,1.4,0,0.0,1,1.4,0,0.0,2,2.8
Shoalhaven,n.c.,1,1.0,0,0.0,1,1.0,1,1.0,1,1.0
Singleton,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,4.3
Snowy Monaro Regional,n.c.,1,4.9,0,0.0,0,0.0,0,0.0,0,0.0
Snowy Valleys,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Strathfield,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sutherland Shire,n.c.,0,0.0,3,1.3,2,0.9,0,0.0,4,1.7
Sydney,n.c.,8,3.7,7,3.1,3,1.3,3,1.2,8,3.3
Tamworth Regional,n.c.,3,5.0,2,3.3,2,3.2,0,0.0,2,3.2
Temora,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tenterfield,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
The Hills Shire,n.c.,0,0.0,1,0.6,0,0.0,1,0.6,0,0.0
