Incidents of Theft from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Junee,Stable,119,1873.7,123,1910.1,131,2003.0,107,1613.6,100,1508.1
Kempsey,Stable,1430,4865.0,1374,4663.4,1347,4553.7,1697,5720.5,1307,4405.9
Kiama,Down 5.1% per year,403,1836.1,415,1868.1,387,1713.0,299,1299.7,342,1486.6
Ku-Ring-Gai,Stable,1433,1178.5,1539,1251.7,1479,1184.4,1388,1101.2,1455,1154.3
Kyogle,Stable,186,2027.9,183,2014.7,137,1529.9,167,1882.8,178,2006.8
Lachlan,Stable,276,4295.8,269,4263.4,194,3126.5,207,3365.3,284,4617.1
Lake Macquarie,Stable,5939,2947.0,6258,3088.7,6092,2987.8,6166,3009.1,5809,2834.8
Lane Cove,Up 6.5% per year,485,1323.0,524,1380.0,657,1687.1,659,1668.9,672,1701.9
Leeton,Stable,334,2927.3,337,2953.1,372,3255.2,361,3156.1,353,3086.2
Lismore,Stable,1469,3324.3,1503,3409.5,1309,2981.2,1432,3266.2,1223,2789.5
Lithgow,Stable,714,3332.6,734,3413.3,627,2904.2,583,2694.6,698,3226.1
Liverpool Plains,Stable,204,2601.9,222,2826.9,192,2437.7,166,2103.1,181,2293.2
Lockhart,Stable,56,1788.0,58,1819.5,33,1011.8,79,2397.6,49,1487.1
Lord Howe Island,n.c.,7,n.c.,1,n.c.,5,n.c.,3,n.c.,5,n.c.
Maitland,Stable,2774,3563.6,3137,3946.2,3179,3897.2,3145,3779.9,3056,3672.9
Mid-Coast,Stable,3062,3356.4,2866,3115.4,2974,3206.6,3008,3224.4,2777,2976.8
Mid-Western Regional,Down 4.8% per year,591,2420.6,619,2513.5,543,2181.5,529,2108.7,499,1989.2
Moree Plains,Stable,1128,8227.5,1427,10512.2,1570,11688.1,1143,8561.8,1154,8644.2
Mosman,Stable,480,1595.3,462,1521.1,441,1437.7,446,1444.4,488,1580.5
Murray River,Stable,297,2516.9,330,2775.7,255,2123.9,287,2368.4,243,2005.3
Murrumbidgee,Stable,68,1743.9,85,2159.2,66,1668.3,86,2171.2,105,2650.8
Muswellbrook,Down 5.6% per year,760,4622.5,732,4447.6,615,3743.3,619,3778.3,601,3668.4
Nambucca,Up 5.9% per year,639,3268.8,657,3350.7,764,3874.0,913,4617.4,812,4106.6
Narrabri,Stable,530,3944.9,486,3640.9,398,2998.2,447,3378.4,432,3265.1
Narrandera,Stable,247,4136.6,272,4575.3,322,5426.0,157,2647.1,438,7384.9
Narromine,Stable,431,6474.6,458,6929.7,293,4453.8,450,6852.4,389,5923.6
Newcastle,Up 2.5% per year,7698,4813.0,8180,5074.9,8805,5405.5,8481,5168.1,8728,5318.6
North Sydney,Down 3.8% per year,1619,2277.4,1493,2070.0,1668,2274.5,1518,2046.6,1444,1946.8
Northern Beaches,Down 3.8% per year,5114,1941.7,4859,1824.2,4803,1782.1,4590,1692.0,4504,1660.3
